DATE,TOTALNSA
2000-01-01,1239.3
2000-02-01,1539.3
2000-03-01,1713.0
2000-04-01,1538.9
2000-05-01,1664.9
2000-06-01,1662.7
2000-07-01,1468.6
2000-08-01,1578.8
2000-09-01,1506.3
2000-10-01,1367.7
2000-11-01,1260.9
2000-12-01,1271.2
2001-01-01,1196.3
2001-02-01,1381.5
2001-03-01,1627.8
2001-04-01,1377.0
2001-05-01,1635.2
2001-06-01,1652.2
2001-07-01,1374.6
2001-08-01,1478.2
2001-09-01,1312.5
2001-10-01,1753.2
2001-11-01,1347.9
2001-12-01,1336.1
2002-01-01,1129.999
2002-02-01,1328.755
2002-03-01,1541.215
2002-04-01,1471.801
2002-05-01,1538.496
2002-06-01,1563.938
2002-07-01,1551.996
2002-08-01,1734.956
2002-09-01,1250.986
2002-10-01,1331.09
2002-11-01,1227.557
2002-12-01,1467.708
2003-01-01,1108.279
2003-02-01,1237.619
2003-03-01,1474.819
2003-04-01,1436.733
2003-05-01,1601.145
2003-06-01,1502.328
2003-07-01,1538.781
2003-08-01,1656.167
2003-09-01,1329.499
2003-10-01,1333.497
2003-11-01,1285.36
2003-12-01,1463.264
2004-01-01,1149.668
2004-02-01,1303.718
2004-03-01,1540.321
2004-04-01,1455.643
2004-05-01,1660.854
2004-06-01,1480.758
2004-07-01,1589.173
2004-08-01,1463.409
2004-09-01,1470.081
2004-10-01,1370.093
2004-11-01,1231.197
2004-12-01,1583.603
2005-01-01,1095.851
2005-02-01,1286.074
2005-03-01,1615.983
2005-04-01,1542.051
2005-05-01,1537.321
2005-06-01,1720.006
2005-07-01,1845.713
2005-08-01,1524.158
2005-09-01,1366.93
2005-10-01,1184.16
2005-11-01,1200.786
2005-12-01,1525.713
2006-01-01,1176.162
2006-02-01,1298.13
2006-03-01,1576.647
2006-04-01,1489.804
2006-05-01,1533.712
2006-06-01,1545.268
2006-07-01,1531.114
2006-08-01,1530.014
2006-09-01,1394.215
2006-10-01,1260.626
2006-11-01,1236.584
2006-12-01,1476.413
2007-01-01,1124.216
2007-02-01,1285.136
2007-03-01,1574.877
2007-04-01,1365.965
2007-05-01,1590.262
2007-06-01,1481.21
2007-07-01,1331.024
2007-08-01,1500.386
2007-09-01,1335.814
2007-10-01,1256.533
2007-11-01,1200.511
2007-12-01,1414.147
2008-01-01,1063.408
2008-02-01,1196.431
2008-03-01,1378.605
2008-04-01,1272.999
2008-05-01,1420.485
2008-06-01,1212.54
2008-07-01,1156.003
2008-08-01,1269.113
2008-09-01,984.592
2008-10-01,859.026
2008-11-01,763.936
2008-12-01,916.12
2009-01-01,670.466
2009-02-01,701.635
2009-03-01,872.848
2009-04-01,832.588
2009-05-01,938.41
2009-06-01,874.874
2009-07-01,1011.769
2009-08-01,1274.678
2009-09-01,759.633
2009-10-01,853.942
2009-11-01,761.865
2009-12-01,1049.27
2010-01-01,712.469
2010-02-01,793.362
2010-03-01,1083.953
2010-04-01,997.334
2010-05-01,1117.57
2010-06-01,1000.455
2010-07-01,1065.748
2010-08-01,1011.564
2010-09-01,973.954
2010-10-01,965.135
2010-11-01,888.085
2010-12-01,1162.897
2011-01-01,836.366
2011-02-01,1007.082
2011-03-01,1276.843
2011-04-01,1173.52
2011-05-01,1081.272
2011-06-01,1071.229
2011-07-01,1086.064
2011-08-01,1094.479
2011-09-01,1076.037
2011-10-01,1048.258
2011-11-01,1028.774
2011-12-01,1268.462
2012-01-01,938.17
2012-02-01,1175.82
2012-03-01,1434.004
2012-04-01,1204.471
2012-05-01,1369.493
2012-06-01,1310.158
2012-07-01,1171.809
2012-08-01,1305.342
2012-09-01,1206.182
2012-10-01,1119.148
2012-11-01,1169.803
2012-12-01,1375.084
2013-01-01,1065.798
2013-02-01,1217.858
2013-03-01,1479.427
2013-04-01,1313.768
2013-05-01,1473.275
2013-06-01,1425.802
2013-07-01,1335.833
2013-08-01,1527.483
2013-09-01,1152.814
2013-10-01,1235.532
2013-11-01,1271.446
2013-12-01,1383.676
2014-01-01,1043.019
2014-02-01,1221.37
2014-03-01,1562.748
2014-04-01,1408.232
2014-05-01,1644.367
2014-06-01,1451.814
2014-07-01,1473.962
2014-08-01,1607.315
2014-09-01,1272.036
2014-10-01,1312.329
2014-11-01,1324.117
2014-12-01,1538.534
2015-01-01,1178.448
2015-02-01,1285.772
2015-03-01,1580.393
2015-04-01,1480.427
2015-05-01,1669.661
2015-06-01,1519.734
2015-07-01,1547.741
2015-08-01,1599.332
2015-09-01,1476.009
2015-10-01,1487.551
2015-11-01,1359.864
2015-12-01,1672.392
2016-01-01,1189.3
2016-02-01,1375.0
2016-03-01,1615.066
2016-04-01,1525.166
2016-05-01,1553.604
2016-06-01,1549.801
2016-07-01,1547.629
2016-08-01,1540.748
2016-09-01,1463.25
2016-10-01,1398.361
2016-11-01,1400.755
2016-12-01,1719.627
2017-01-01,1165.212
2017-02-01,1353.163
2017-03-01,1583.986
2017-04-01,1450.982
2017-05-01,1545.127
2017-06-01,1503.708
2017-07-01,1442.074
2017-08-01,1513.174
2017-09-01,1554.253
2017-10-01,1386.79
2017-11-01,1425.669
2017-12-01,1640.989
2018-01-01,1182.612
2018-02-01,1329.071
2018-03-01,1688.494
2018-04-01,1392.164
2018-05-01,1627.509
2018-06-01,1587.643
2018-07-01,1404.041
2018-08-01,1528.37
2018-09-01,1475.854
2018-10-01,1406.915
2018-11-01,1423.054
2018-12-01,1667.077
2019-01-01,1172.004
2019-02-01,1288.921
2019-03-01,1643.423
2019-04-01,1373.379
2019-05-01,1628.757
2019-06-01,1555.493
2019-07-01,1444.447
2019-08-01,1685.949
2019-09-01,1316.202
2019-10-01,1381.028
2019-11-01,1439.322
2019-12-01,1559.229
2020-01-01,1168.457
2020-02-01,1383.714
2020-03-01,1023.317
2020-04-01,743.276
2020-05-01,1142.705
2020-06-01,1131.39
2020-07-01,1268.455
2020-08-01,1354.397
2020-09-01,1379.676
2020-10-01,1399.305
2020-11-01,1235.258
2020-12-01,1651.406
2021-01-01,1141.709
2021-02-01,1226.714
2021-03-01,1642.749
2021-04-01,1557.152
2021-05-01,1608.628
2021-06-01,1342.999
2021-07-01,1316.697
2021-08-01,1128.965
2021-09-01,1052.965
2021-10-01,1089.348
2021-11-01,1049.604
2021-12-01,1250.985
2022-01-01,1022.334
2022-02-01,1077.869
2022-03-01,1299.165
2022-04-01,1271.888
2022-05-01,1145.623
2022-06-01,1184.437
2022-07-01,1164.691
2022-08-01,1178.066
2022-09-01,1166.015
2022-10-01,1224.679
2022-11-01,1176.556
2022-12-01,1319.001
2023-01-01,1083.31
2023-02-01,1175.553
2023-03-01,1419.846
2023-04-01,1400.09
2023-05-01,1409.256
2023-06-01,1414.187
2023-07-01,1339.501
