DATE,MEDDAYONMAR39153
2016-07-01,60.0
2016-08-01,63.5
2016-09-01,67.5
2016-10-01,74.0
2016-11-01,76.5
2016-12-01,81.0
2017-01-01,85.5
2017-02-01,81.5
2017-03-01,66.0
2017-04-01,55.0
2017-05-01,51.5
2017-06-01,50.0
2017-07-01,53.0
2017-08-01,53.5
2017-09-01,58.0
2017-10-01,60.0
2017-11-01,63.5
2017-12-01,71.0
2018-01-01,78.0
2018-02-01,72.0
2018-03-01,59.0
2018-04-01,52.0
2018-05-01,49.0
2018-06-01,47.0
2018-07-01,51.5
2018-08-01,48.5
2018-09-01,52.0
2018-10-01,57.0
2018-11-01,61.0
2018-12-01,67.0
2019-01-01,75.0
2019-02-01,75.0
2019-03-01,59.0
2019-04-01,45.5
2019-05-01,43.5
2019-06-01,42.0
2019-07-01,47.0
2019-08-01,49.0
2019-09-01,49.5
2019-10-01,53.0
2019-11-01,55.0
2019-12-01,61.5
2020-01-01,72.5
2020-02-01,67.0
2020-03-01,51.0
2020-04-01,52.5
2020-05-01,62.0
2020-06-01,46.5
2020-07-01,44.5
2020-08-01,45.0
