DATE,MEDLISPRI39153
2016-07-01,110050.0
2016-08-01,109950.0
2016-09-01,109950.0
2016-10-01,109950.0
2016-11-01,111300.0
2016-12-01,109050.0
2017-01-01,109950.0
2017-02-01,109950.0
2017-03-01,119950.0
2017-04-01,124950.0
2017-05-01,125000.0
2017-06-01,129500.0
2017-07-01,129050.0
2017-08-01,129950.0
2017-09-01,129950.0
2017-10-01,126300.0
2017-11-01,124950.0
2017-12-01,119950.0
2018-01-01,114500.0
2018-02-01,112950.0
2018-03-01,125450.0
2018-04-01,130450.0
2018-05-01,139000.0
2018-06-01,149950.0
2018-07-01,154550.0
2018-08-01,146500.0
2018-09-01,139950.0
2018-10-01,140000.0
2018-11-01,136000.0
2018-12-01,130050.0
2019-01-01,129750.0
2019-02-01,130000.0
2019-03-01,134292.8571
2019-04-01,141400.0
2019-05-01,152500.0
2019-06-01,158950.0
2019-07-01,157500.0
2019-08-01,152292.8571
2019-09-01,146250.0
2019-10-01,146500.0
2019-11-01,134950.0
2019-12-01,131950.0
2020-01-01,125000.0
2020-02-01,125050.0
2020-03-01,134550.0
2020-04-01,144950.0
2020-05-01,154050.0
2020-06-01,165000.0
2020-07-01,165000.0
2020-08-01,164950.0
