Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
2002,20,SDP,NL,4,5,0.444,3.5,16,15,0,0,0,0,90,71,37,35,13,48,1,94,5,0,3,387,107,4.52,1.322,7.1,1.3,4.8,9.4,1.96,
2003,21,TOT,NL,4,10,0.286,5.47,24,24,0,0,0,0,126.2,129,80,77,22,77,3,141,4,1,7,579,74,4.98,1.626,9.2,1.6,5.5,10,1.83,
2004,22,PIT,NL,12,10,0.545,2.98,30,30,0,2,1,0,196,145,71,65,22,81,2,239,9,1,2,805,143,3.45,1.153,6.7,1,3.7,11,2.95,
2005,23,PIT,NL,7,5,0.583,5.85,20,20,0,0,0,0,103,102,68,67,23,70,1,97,6,0,3,471,72,6.25,1.67,8.9,2,6.1,8.5,1.39,
2006,24,TOT,NL,3,13,0.188,6.55,22,22,0,1,1,0,112.2,129,90,82,20,68,0,102,6,1,5,529,68,5.61,1.749,10.3,1.6,5.4,8.1,1.5,
2007,25,NYM,NL,15,10,0.6,3.56,29,29,0,0,0,0,177,153,90,70,22,79,1,174,7,0,6,765,121,4.35,1.311,7.8,1.1,4,8.8,2.2,
2008,26,NYM,NL,10,7,0.588,4.22,34,34,0,0,0,0,194,167,100,91,24,105,4,180,11,1,9,847,100,4.68,1.402,7.7,1.1,4.9,8.4,1.71,
2009,27,NYM,NL,3,4,0.429,6.82,14,14,0,0,0,0,66,69,51,50,12,58,2,62,4,0,2,324,60,6.4,1.924,9.4,1.6,7.9,8.5,1.07,
2010,28,NYM,NL,0,5,0,6.8,17,7,4,0,0,0,46.1,54,37,35,9,42,3,37,4,0,4,234,58,6.99,2.072,10.5,1.7,8.2,7.2,0.88,
2012,30,SEA,AL,1,3,0.25,2.12,33,0,6,0,0,0,29.2,27,7,7,1,10,2,24,0,0,2,123,181,2.93,1.247,8.2,0.3,3,7.3,2.4,
2013,31,SEA,AL,3,3,0.5,3.74,61,0,22,0,0,2,53,50,23,22,6,26,3,74,1,0,1,229,99,3.26,1.434,8.5,1,4.4,12.6,2.85,
2014,32,ARI,NL,3,4,0.429,2.91,68,0,11,0,0,0,58.2,50,25,19,5,24,2,76,7,3,3,256,129,3.23,1.261,7.7,0.8,3.7,11.7,3.17,
2015,33,TOT,MLB,2,4,0.333,4.17,70,0,15,0,0,0,41,39,24,19,4,15,2,51,4,0,3,183,99,3.3,1.317,8.6,0.9,3.3,11.2,3.4,
2016,34,WSN,NL,2,3,0.4,4.95,64,0,7,0,0,0,40,38,22,22,4,20,3,46,7,0,5,182,87,4.17,1.45,8.6,0.9,4.5,10.4,2.3,
2017,35,WSN,NL,0,0,,4.64,50,0,8,0,0,1,33,32,17,17,4,12,2,39,4,1,1,143,97,3.82,1.333,8.7,1.1,3.3,10.6,3.25,
2018,36,CLE,AL,1,1,0.5,1.39,51,0,1,0,0,0,32.1,17,6,5,1,7,3,43,2,0,1,120,313,1.74,0.742,4.7,0.3,1.9,12,6.14,
2019,37,CLE,AL,2,4,0.333,3.98,67,0,4,0,0,1,40.2,38,20,18,5,12,2,48,3,0,1,173,120,3.56,1.23,8.4,1.1,2.7,10.6,4,
2020,38,CLE,AL,1,1,0.5,2,21,0,2,0,0,1,18,13,5,4,0,6,3,14,3,0,0,72,234,3.14,1.056,6.5,0,3,7,2.33,
2021,39,CLE,AL,0,1,0,0,5,0,3,0,0,0,3.2,5,1,0,0,1,1,4,0,0,0,18,,1.79,1.636,12.3,0,2.5,9.8,4,
